round,recall,map50,precision
1,0.315963903343972,0.4260846763260402,0.6465284968514681
2,0.4090909090909091,0.380998087804407,0.41017462211397815
3,0.36036036036036034,0.2629973342243321,0.3388732881589976
4,0.48148148148148145,0.465623008590236,0.4710260853975561
5,0.5185185185185185,0.3159397694298433,0.30936435373971455
