k_shot,recall,recall,map50,map50
,mean,std,mean,std
1,0.37574119377993886,0.4698584706146798,0.08652061116812508,0.16737559378644418
2,0.6103526497263814,0.30971236722882894,0.20216090972527803,0.18673218400935493
3,0.6314838925740597,0.2511622355474682,0.30633969948101825,0.26077489945116566
